damagedCity,clean_name
ADDISON,
ALSIP,Alsip
ALSLIP,Alsip
ARGO,
ARLINGTON HEIGHTS,Arlington Heights
ARLINGTON HTS,Arlington Heights
ASHLAND AVE,
AURORA,
BARRINGTON,Barrington
BARTLETT,Bartlett
BEDFORD PARK,Bedford Park
BELLLWOOD,Bellwood
BELLWODD,Bellwood
BELLWOOD,Bellwood
BELLWOOE,Bellwood
BELWOOD,Bellwood
BENSENVILLE,Bensenville
BERKELEY,Berkeley
BERKLEY,Berkeley
BERWYN,Berwyn
BLUE ISLAND,Blue Island
BLUEISLAND,Blue Island
BOLINGBROOK,
BRAIDWOOD,
BRAODVIEW,Broadview
BRIDGEVIEW,Bridgeview
BROADVIEW,Broadview
BROOKFI,Brookfield
BROOKFIELD,Brookfield
BUFFALO GROVE,Buffalo Grove
BURBANK,Burbank
BURHAM,Burnham
BURNHAM,Burnham
BURNHAM IL,Burnham
BURR RIDGE,Burr Ridge
C. C. HILLS,Country Club Hills
C.C.HILLS,Country Club Hills
CALUMET,Calumet
CALUMET CITY,Calumet City
CALUMET PARK,Calumet Park
CALUMET PARK IL,Calumet Park
CALUMET PK,Calumet Park
CALUMETARK,Calumet Park
CALUMETCITY,Calumet City
CALUNET,Calumet
CALUNET CITY,Calumet City
CAULMET CITY,Calumet City
CCICERO,Cicero
CENTRAL STICKNEY,Stickney
CGICAGO,Chicago
CH,Chicago
CHCAGO,Chicago
CHCIAGO,Chicago
CHG,Chicago
CHGO,Chicago
CHGO HTS,Chicago Heights
CHGOHTS,Chicago Heights
CHHICAGO,Chicago
CHI,Chicago
CHI CAGO,Chicago
CHIAGO,Chicago
CHIC AGO,Chicago
CHICAAGO,Chicago
CHICACO,Chicago
CHICAG,Chicago
CHICAGGO,Chicago
CHICAGI,Chicago
CHICAGIO,Chicago
CHICAGO,Chicago
CHICAGO  HEIGHTS,Chicago Heights
CHICAGO APT #2,Chicago
CHICAGO APT B,Chicago
CHICAGO CHICAGO,Chicago
CHICAGO HEIGHTS,Chicago Heights
CHICAGO HTS,Chicago Heights
CHICAGO IL,Chicago
CHICAGO ILLINOIS,Chicago
CHICAGO LAWN,Chicago Lawn
CHICAGO RIDGE,Chicago Ridge
CHICAGOI,Chicago
CHICAGOIL,Chicago
CHICAGOP,Chicago
CHICAHO,Chicago
CHICAO,Chicago
CHICASGO,Chicago
CHICATO,Chicago
CHICGAGO,Chicago
CHICGAO,Chicago
CHICGO,Chicago
CHICOAG,Chicago
CHIGAGO,Chicago
