pin10,capture_da,DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,mncplty,pltcltw,assssrn,assssrb,ff_score,in_sfha
0101410001,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_2570,NP,A,NA,Unincorporated,Town of Barrington,11,203,,
0101410007,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_2570,NP,A,NA,Unincorporated,Town of Barrington,11,204,,
0102100029,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington Hills,Town of Barrington,21,208,,
0102100035,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington Hills,Town of Barrington,21,278,,
0102100037,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington Hills,Town of Barrington,21,204,,
0102100041,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington Hills,Town of Barrington,21,204,,
0102200002,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington,Town of Barrington,12,580,,
0102200010,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington,Town of Barrington,12,593,,
0102300022,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington Hills,Town of Barrington,21,234,1,In SFHA
0102300023,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington Hills,Town of Barrington,21,208,,
0102300033,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington Hills,Town of Barrington,21,204,,
0102300034,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington Hills,Town of Barrington,21,224,,
0102300035,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington Hills,Town of Barrington,21,208,,
0102300037,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington Hills,Town of Barrington,21,208,,
0102300038,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington Hills,Town of Barrington,21,278,,
0102300044,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington Hills,Town of Barrington,21,278,,
0102300045,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington Hills,Town of Barrington,21,278,,
0102300053,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington Hills,Town of Barrington,21,204,,
0103400031,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington Hills,Town of Barrington,21,204,,
0103400033,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_3918,NP,A,NA,Barrington Hills,Town of Barrington,21,206,,
0106100034,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_1205,NP,A,NA,Barrington Hills,Town of Barrington,21,278,,
0106100050,6/13/2020-7/1/2020,17031C,1.1.1.0,17031C_1205,NP,A,NA,Barrington Hills,Town of Barrington,21,278,,
0109204027,7/3/2011-7/1/2020,17031C,1.1.1.0,17031C_7783,NP,A,NA,Barrington Hills,Town of Barrington,21,209,,
0110102024,7/3/2011-7/1/2020,17031C,1.1.1.0,17031C_7783,NP,A,NA,Barrington Hills,Town of Barrington,21,209,,
0110200001,7/3/2011-7/1/2020,17031C,1.1.1.0,17031C_7783,NP,A,NA,Barrington Hills,Town of Barrington,21,234,,
0110202042,7/3/2011-7/1/2020,17031C,1.1.1.0,17031C_142,NP,A,NA,Barrington Hills,Town of Barrington,21,209,,
0111105038,NA,17031C,1.1.1.0,17031C_142,NP,A,NA,Barrington Hills,Town of Barrington,21,204,,
0111105040,NA,17031C,1.1.1.0,17031C_142,NP,A,NA,Barrington Hills,Town of Barrington,21,209,,
0111105045,7/3/2011-7/1/2020,17031C,1.1.1.0,17031C_142,NP,A,NA,Barrington Hills,Town of Barrington,21,201,,
0111201001,NA,17031C,1.1.1.0,17031C_2795,NP,A,NA,Barrington Hills,Town of Barrington,21,234,,
0111201007,NA,17031C,1.1.1.0,17031C_2795,NP,A,NA,Barrington Hills,Town of Barrington,21,206,,
0111201009,NA,17031C,1.1.1.0,17031C_2795,NP,A,NA,Barrington Hills,Town of Barrington,21,204,,
0111201020,NA,17031C,1.1.1.0,17031C_2795,NP,A,NA,Barrington Hills,Town of Barrington,21,204,,
0111201022,NA,17031C,1.1.1.0,17031C_2795,NP,A,NA,Barrington Hills,Town of Barrington,21,241,,
0111202033,NA,17031C,1.1.1.0,17031C_2795,NP,A,NA,Barrington Hills,Town of Barrington,21,278,,
0113103003,NA,17031C,1.1.1.0,17031C_142,NP,A,NA,Inverness,Town of Barrington,31,278,,
