pin,pin10,mncplty,pltcltw,assssrn,assssrb,geoid,shp_Lng,shap_Ar,DFIRM_I,VERSION,LOMR_ID,EFF_DAT,CASE_NO,SCALE,STATUS,SOURCE_
01283010020000,0128301002,Barrington Hills,Town of Barrington,024,EX,17031804201,2864.6730582120913,294224.352494832,17031C,1.1.1.0,17031C_6,2008-11-24,08-05-5003P,12000,Effective,17031C_LOMC1
01283010040000,0128301004,Hoffman Estates,Town of Barrington,024,239,17031804201,7250.459088180388,2952003.801395315,17031C,1.1.1.0,17031C_6,2008-11-24,08-05-5003P,12000,Effective,17031C_LOMC1
01285000030000,0128500003,Unincorporated,Town of Barrington,024,RR,17031804201,5900.845008905886,279375.02230029646,17031C,1.1.1.0,17031C_6,2008-11-24,08-05-5003P,12000,Effective,17031C_LOMC1
01294030010000,0129403001,Barrington Hills,Town of Barrington,021,EX,17031804201,5192.408176250495,1723557.435860756,17031C,1.1.1.0,17031C_6,2008-11-24,08-05-5003P,12000,Effective,17031C_LOMC1
01295000010000,0129500001,Barrington Hills,Town of Barrington,021,RR,17031804201,522.5688512883497,9654.318200516991,17031C,1.1.1.0,17031C_6,2008-11-24,08-05-5003P,12000,Effective,17031C_LOMC1
01322000030000,0132200003,Unincorporated,Town of Barrington,024,EX,17031804201,6543.792926252659,1712830.6206321127,17031C,1.1.1.0,17031C_6,2008-11-24,08-05-5003P,12000,Effective,17031C_LOMC1
01325000020000,0132500002,Unincorporated,Town of Barrington,024,RR,17031804201,3387.403966326843,184901.93908043986,17031C,1.1.1.0,17031C_6,2008-11-24,08-05-5003P,12000,Effective,17031C_LOMC1
01331000030000,0133100003,Hoffman Estates,Town of Barrington,024,239,17031804201,2677.3990532399794,50032.486185108464,17031C,1.1.1.0,17031C_6,2008-11-24,08-05-5003P,12000,Effective,17031C_LOMC1
01331000040000,0133100004,Hoffman Estates,Town of Barrington,024,239,17031804201,7685.410053175934,3325287.2017832072,17031C,1.1.1.0,17031C_6,2008-11-24,08-05-5003P,12000,Effective,17031C_LOMC1
01331030070000,0133103007,Hoffman Estates,Town of Barrington,024,239,17031804201,4305.020489931305,1043318.0860465345,17031C,1.1.1.0,17031C_6,2008-11-24,08-05-5003P,12000,Effective,17031C_LOMC1
01331030080000,0133103008,Hoffman Estates,Town of Barrington,024,590,17031804201,6060.964416909829,707499.7015497729,17031C,1.1.1.0,17031C_6,2008-11-24,08-05-5003P,12000,Effective,17031C_LOMC1
02011020430000,0201102043,Palatine,Town of Palatine,022,100,17031803611,423.6314355903141,11070.047968582416,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
02011020480000,0201102048,Palatine,Town of Palatine,022,100,17031803611,403.39837084378155,9491.141124324642,17031C,2.3.3.0,17031C_16,2015-10-06,15-05-3589P,6000,Effective,17031C_LOMC18
