pin10,sfha2018,sfha2024,prelimsfha,lomr2018,lomr2024,EFF_DATlomr2018,EFF_DATlomr2024,n
0101403014,1,1,1,0,0,NA,NA,1
0101403015,1,1,1,0,0,NA,NA,1
0101403016,1,1,1,0,0,NA,NA,1
0101403017,1,1,1,0,0,NA,NA,1
0101403018,1,1,1,0,0,NA,NA,1
0101403022,1,1,1,0,0,NA,NA,1
0101403023,1,1,1,0,0,NA,NA,1
0101403024,1,1,1,0,0,NA,NA,1
0101403029,1,1,1,0,0,NA,NA,1
0101403041,1,1,1,0,0,NA,NA,1
0101405010,1,1,1,0,0,NA,NA,1
0101406005,1,1,1,0,0,NA,NA,1
0101406006,1,1,1,0,0,NA,NA,1
0101406019,1,1,1,0,0,NA,NA,1
0101410001,1,1,1,0,0,NA,NA,1
0101410007,1,1,1,0,0,NA,NA,1
0102100027,1,1,1,0,0,NA,NA,1
0102100029,1,1,1,0,0,NA,NA,1
0102100030,1,1,1,0,0,NA,NA,1
0102100033,1,1,1,0,0,NA,NA,1
0102100035,1,1,1,0,0,NA,NA,1
0102100036,1,1,1,0,0,NA,NA,1
0102100037,1,1,1,0,0,NA,NA,1
0102100038,1,1,1,0,0,NA,NA,1
0102100039,1,1,1,0,0,NA,NA,1
0102100041,1,1,1,0,0,NA,NA,1
0102100043,1,1,1,0,0,NA,NA,1
0102200002,1,1,1,0,0,NA,NA,1
0102200010,1,1,1,0,0,NA,NA,1
0102300010,1,1,1,0,0,NA,NA,1
0102300012,1,1,1,0,0,NA,NA,1
0102300022,1,1,1,0,0,NA,NA,1
0102300023,1,1,1,0,0,NA,NA,1
0102300031,1,1,1,0,0,NA,NA,1
0102300032,1,1,1,0,0,NA,NA,1
0102300033,1,1,1,0,0,NA,NA,1
0102300034,1,1,1,0,0,NA,NA,1
0102300035,1,1,1,0,0,NA,NA,1
0102300036,1,1,1,0,0,NA,NA,1
0102300037,1,1,1,0,0,NA,NA,1
0102300038,1,1,1,0,0,NA,NA,1
0102300044,1,1,1,0,0,NA,NA,1
0102300045,1,1,1,0,0,NA,NA,1
0102300050,1,1,1,0,0,NA,NA,1
0102300052,1,1,1,0,0,NA,NA,1
0102300053,1,1,1,0,0,NA,NA,1
0102402003,1,1,1,0,0,NA,NA,1
0102402005,1,1,1,0,0,NA,NA,1
0102402019,1,1,1,0,0,NA,NA,1
0103300006,1,1,1,0,0,NA,NA,1
0103400031,1,1,1,0,0,NA,NA,1
0103400032,1,1,1,0,0,NA,NA,1
0103400033,1,1,1,0,0,NA,NA,1
0103400034,1,1,1,0,0,NA,NA,1
0103400035,1,1,1,0,0,NA,NA,1
0104403003,1,1,1,0,0,NA,NA,1
0104403010,1,1,1,0,0,NA,NA,1
0104403017,1,1,1,0,0,NA,NA,1
0105200017,0,0,1,0,0,NA,NA,1
0105400001,1,1,1,0,0,NA,NA,1
0105400004,1,1,1,0,0,NA,NA,1
