year,disasterNumber,damagedZipCode,claimcount,granted,denied,ihpAmount,flood_damaged,flood_damage_amount,renters,apartments,homes,condos,owners,home_damage_amount
2010,1935,40804,1,1,1,1029.17,1,1488.17,0,1,0,0,1,1
2010,1935,60004,3,2,2,3434.4400000000005,2,1438.1100000000001,1,0,3,0,2,3
2010,1935,60005,5,1,1,2832,1,1172.16,2,0,4,0,3,4
2010,1935,60007,9,4,4,25212.78,7,24424.86,1,0,9,0,8,9
2010,1935,60008,4,3,3,6276.74,3,5378.549999999999,0,0,3,1,4,4
2010,1935,60010,2,0,0,0,0,0,1,1,1,0,1,2
2010,1935,60016,100,50,50,205759.36000000002,76,197517.01,29,17,77,3,69,95
2010,1935,60018,30,19,19,45558.71,19,35703.73,4,0,25,0,26,29
2010,1935,60020,1,1,1,1532.16,1,1532.16,0,0,1,0,1,1
2010,1935,60022,1,1,1,2088.52,1,332.92,0,0,1,0,1,1
2010,1935,60025,17,11,11,25290.850000000002,13,21665.62,1,0,17,0,16,16
2010,1935,60026,5,4,4,5025.01,4,2766.5,0,0,5,0,5,4
2010,1935,60053,24,20,20,60223.87,17,45460.24,0,0,24,0,24,23
2010,1935,60056,10,4,4,13626.57,4,8256.29,3,0,8,1,7,7
2010,1935,60062,5,4,4,51231.9,4,5302.9400000000005,1,0,5,0,4,5
2010,1935,60064,1,0,0,0,0,0,1,0,1,0,0,1
2010,1935,60067,3,2,2,9004.68,2,4411.5,1,0,3,0,2,3
2010,1935,60068,39,31,31,74526.77,32,51132.31,4,0,38,0,35,36
2010,1935,60070,1,0,0,0,0,0,0,0,1,0,1,1
2010,1935,60074,4,1,1,838.12,1,838.12,2,1,3,0,2,3
2010,1935,60076,76,55,55,149398.39,53,91556.81,14,4,71,1,62,69
2010,1935,60077,28,20,20,39453.46,17,24442.5,7,3,23,1,21,25
2010,1935,60089,2,2,2,14730.67,1,11455.12,0,0,0,2,2,2
2010,1935,60090,8,7,7,14847.86,7,11713.58,0,0,8,0,8,8
2010,1935,60091,8,7,7,19040.16,7,15026.22,1,0,8,0,7,8
2010,1935,60101,2,2,2,9268.619999999999,2,6784.62,0,0,2,0,2,2
2010,1935,60103,9,5,5,7225.7,6,5752.62,2,0,8,1,7,8
2010,1935,60104,4118,3081,3081,15093845.9,3477,14671244.56,853,308,3636,18,3229,3784
2010,1935,60107,26,13,13,67178.31,18,39861.05,11,1,24,1,15,25
2010,1935,60120,14,7,7,13207.91,11,18139.8,7,1,12,0,7,14
2010,1935,60126,10,9,9,29295.920000000002,7,20888.79,2,1,9,0,8,10
2010,1935,60130,895,643,643,1909317.22,698,1645624.12,206,138,715,20,685,799
2010,1935,60131,111,84,84,206398.56,98,164085.03,7,4,106,0,103,108
2010,1935,60133,29,16,16,55517.03,20,52048.82,15,3,24,1,14,26
2010,1935,60140,1,0,0,0,1,50,1,0,1,0,0,1
2010,1935,60141,4,2,2,10074.31,2,6462.3099999999995,4,2,1,0,0,3
2010,1935,60148,1,1,1,4650,0,0,1,0,0,0,0,0
2010,1935,60153,3855,3215,3215,14190786.13,3347,10258882.41,1082,422,3360,2,2759,3643
2010,1935,60154,2346,1866,1866,7749210.3,2072,9088511.74,226,97,2180,24,2101,2166
2010,1935,60155,1515,1268,1268,4829779.98,1321,4209662.13,254,78,1368,14,1246,1393
2010,1935,60156,1,0,0,0,0,0,1,0,0,0,0,0
2010,1935,60160,1473,1142,1142,4927129.09,1276,4945149.08,302,200,1220,2,1166,1395
2010,1935,60162,822,565,565,2346201.74,633,2001380.23,180,90,668,29,635,739
2010,1935,60163,414,335,335,1399084.06,360,1232408.1,39,10,401,1,375,387
2010,1935,60164,378,283,283,1203498.4,323,1611621.74,36,9,349,9,339,352
2010,1935,60165,250,162,162,955961.16,201,1446985.16,85,43,193,0,160,227
2010,1935,60169,14,6,6,6653.59,7,5161.51,6,1,13,0,8,14
2010,1935,60171,70,51,51,155686.15,52,126326.95,17,4,53,1,53,56
2010,1935,60172,8,4,4,26868.38,5,28462.27,1,0,8,0,7,8
2010,1935,60173,2,0,0,0,0,0,2,1,0,1,0,2
2010,1935,60176,60,48,48,174011.06,55,255500.86,6,3,53,4,54,60
2010,1935,60192,3,2,2,1966.19,3,2538.71,0,0,3,0,3,3
2010,1935,60193,13,7,7,31600.75,10,32357.88,3,0,13,0,10,12
2010,1935,60194,6,4,4,28791.57,4,5633.759999999999,2,0,6,0,4,6
2010,1935,60195,1,0,0,0,1,7858.43,0,0,1,0,1,1
2010,1935,60196,1,0,0,0,1,283.75,1,0,1,0,0,1
2010,1935,60201,58,37,37,93768.35,36,37359.07,16,5,52,0,42,54
2010,1935,60202,30,19,19,40956.43,17,25700.3,8,4,26,0,22,29
2010,1935,60203,5,3,3,10722.39,3,7681.71,2,0,5,0,3,5
2010,1935,60254,1,0,0,0,0,0,0,1,0,0,1,1
2010,1935,60290,2,1,1,3504.96,2,5306.23,1,1,1,0,1,2
2010,1935,60301,3,1,1,337.5,0,0,3,3,0,0,0,2
2010,1935,60302,382,297,297,717273.14,314,560633.9400000001,71,48,329,3,310,364
2010,1935,60304,154,108,108,268639.05,111,183033.81,39,22,128,4,115,143
2010,1935,60305,132,101,101,212555.79,109,203720.17,13,8,116,7,119,128
2010,1935,60402,1911,1467,1467,3892037.72,1599,3291388.44,235,164,1718,4,1671,1807
2010,1935,60404,2,1,1,5075.68,1,2667.57,0,0,2,0,2,2
2010,1935,60406,432,237,237,602954.7,277,327073.17,130,62,351,8,302,402
