tax_code_num,agency_num,agency_name,minor_type
15001,020060000,TOWN CICERO,TOWNSHIP
15002,020060000,TOWN CICERO,TOWNSHIP
15003,020060000,TOWN CICERO,TOWNSHIP
15004,020060000,TOWN CICERO,TOWNSHIP
15005,020060000,TOWN CICERO,TOWNSHIP
15006,020060000,TOWN CICERO,TOWNSHIP
15007,020060000,TOWN CICERO,TOWNSHIP
15008,020060000,TOWN CICERO,TOWNSHIP
15009,020060000,TOWN CICERO,TOWNSHIP
15010,020060000,TOWN CICERO,TOWNSHIP
15011,020060000,TOWN CICERO,TOWNSHIP
15012,020060000,TOWN CICERO,TOWNSHIP
39003,030010000,VILLAGE OF ALSIP,MUNI
39034,030010000,VILLAGE OF ALSIP,MUNI
39035,030010000,VILLAGE OF ALSIP,MUNI
39036,030010000,VILLAGE OF ALSIP,MUNI
39037,030010000,VILLAGE OF ALSIP,MUNI
39053,030010000,VILLAGE OF ALSIP,MUNI
39084,030010000,VILLAGE OF ALSIP,MUNI
39104,030010000,VILLAGE OF ALSIP,MUNI
39118,030010000,VILLAGE OF ALSIP,MUNI
39119,030010000,VILLAGE OF ALSIP,MUNI
39120,030010000,VILLAGE OF ALSIP,MUNI
39121,030010000,VILLAGE OF ALSIP,MUNI
39122,030010000,VILLAGE OF ALSIP,MUNI
39123,030010000,VILLAGE OF ALSIP,MUNI
39124,030010000,VILLAGE OF ALSIP,MUNI
39132,030010000,VILLAGE OF ALSIP,MUNI
39133,030010000,VILLAGE OF ALSIP,MUNI
39134,030010000,VILLAGE OF ALSIP,MUNI
39139,030010000,VILLAGE OF ALSIP,MUNI
39140,030010000,VILLAGE OF ALSIP,MUNI
39145,030010000,VILLAGE OF ALSIP,MUNI
39162,030010000,VILLAGE OF ALSIP,MUNI
39166,030010000,VILLAGE OF ALSIP,MUNI
39167,030010000,VILLAGE OF ALSIP,MUNI
39168,030010000,VILLAGE OF ALSIP,MUNI
39169,030010000,VILLAGE OF ALSIP,MUNI
39179,030010000,VILLAGE OF ALSIP,MUNI
39187,030010000,VILLAGE OF ALSIP,MUNI
